,Hour Count,Actual: ,Predicted: 
41865,41865,2350,2216.226435686357
41866,41866,2384,2255.9093922856787
41867,41867,2403,2246.061496939515
41868,41868,2368,2222.788371670493
41869,41869,2342,2235.0843341981113
41870,41870,2311,2222.788371670493
41871,41871,2286,2223.827484345909
41872,41872,2399,2247.1722503706665
41873,41873,2383,2242.555978677564
41874,41874,2362,2428.616291017137
41875,41875,2470,2577.50272804808
41876,41876,2610,2598.372055168021
41877,41877,2614,2642.9756842644774
41878,41878,2512,2642.9756842644774
41879,41879,2385,2629.580740428776
41880,41880,2210,2449.1138846321837
41881,41881,2051,2254.0745666357643
41882,41882,1973,2053.8143975744815
41883,41883,1882,1830.6613228046015
41884,41884,1833,1782.3116997320308
41885,41885,1806,1782.3116997320308
41886,41886,1809,1782.3116997320308
41887,41887,1941,1821.381042042581
41888,41888,2161,1942.1754090112222
41889,41889,2232,2197.6469141919556
41890,41890,2231,2222.788371670493
41891,41891,2231,2222.788371670493
41892,41892,2263,2223.827484345909
41893,41893,2237,2234.804647087313
41894,41894,2260,2256.948504961095
41895,41895,2291,2256.948504961095
41896,41896,2392,2454.1338698354825
41897,41897,2429,2468.8844808381436
41898,41898,2490,2531.351078269642
41899,41899,2587,2590.8743975584657
41900,41900,2685,2611.7437246784066
41901,41901,2680,2677.3031559048577
41902,41902,2581,2759.0514390591825
41903,41903,2453,2759.0514390591825
41904,41904,2276,2582.9832978583772
41905,41905,2086,2389.111516034934
41906,41906,1962,2107.445713918609
41907,41907,1864,1893.9313410488826
41908,41908,1805,1867.8704507969983
41909,41909,1767,1867.8704507969983
41910,41910,1777,1867.8704507969983
41911,41911,1834,1850.1290548666839
41912,41912,1929,1849.7933842017453
41913,41913,1973,1891.787180604715
41914,41914,1898,2083.6201640473055
41915,41915,1938,2083.6201640473055
41916,41916,2024,2083.6201640473055
41917,41917,2004,2083.6201640473055
41918,41918,1982,2083.6201640473055
41919,41919,1963,1981.4770851558374
41920,41920,1966,1974.4593374080894
41921,41921,1956,1979.0166062086785
41922,41922,2003,2235.0074054666943
41923,41923,2218,2516.9863936430665
41924,41924,2477,2538.981098589046
41925,41925,2500,2538.981098589046
41926,41926,2427,2566.3879217555577
41927,41927,2315,2538.981098589046
41928,41928,2157,2442.0821592447433
41929,41929,1989,2220.7188832865054
41930,41930,1861,2044.447845054754
41931,41931,1774,1827.7569889805666
41932,41932,1728,1759.8609724959028
